cntry_code,cntry_name,market_value_residence_2003,market_value_nationality_2003,mv_difference_nat_vs_res_2003,market_value_residence_2004,market_value_nationality_2004,mv_difference_nat_vs_res_2004,market_value_residence_2005,market_value_nationality_2005,mv_difference_nat_vs_res_2005,market_value_residence_2006,market_value_nationality_2006,mv_difference_nat_vs_res_2006,market_value_residence_2007,market_value_nationality_2007,mv_difference_nat_vs_res_2007,market_value_residence_2008,market_value_nationality_2008,mv_difference_nat_vs_res_2008,market_value_residence_2009,market_value_nationality_2009,mv_difference_nat_vs_res_2009,market_value_residence_2010,market_value_nationality_2010,mv_difference_nat_vs_res_2010,market_value_residence_2011,market_value_nationality_2011,mv_difference_nat_vs_res_2011,market_value_residence_2012,market_value_nationality_2012,mv_difference_nat_vs_res_2012,market_value_residence_2013,market_value_nationality_2013,mv_difference_nat_vs_res_2013,market_value_residence_2014,market_value_nationality_2014,mv_difference_nat_vs_res_2014,market_value_residence_2015,market_value_nationality_2015,mv_difference_nat_vs_res_2015,market_value_residence_2016,market_value_nationality_2016,mv_difference_nat_vs_res_2016,market_value_residence_2017,market_value_nationality_2017,mv_difference_nat_vs_res_2017,market_value_residence_2018,market_value_nationality_2018,mv_difference_nat_vs_res_2018,market_value_residence_2019,market_value_nationality_2019,mv_difference_nat_vs_res_2019,market_value_residence_2020,market_value_nationality_2020,mv_difference_nat_vs_res_2020,market_value_residence_2021,market_value_nationality_2021,mv_difference_nat_vs_res_2021,market_value_residence_2022,market_value_nationality_2022,mv_difference_nat_vs_res_2022,market_value_residence_2023,market_value_nationality_2023,mv_difference_nat_vs_res_2023,market_value_residence_2024,market_value_nationality_2024,mv_difference_nat_vs_res_2024
11002,GERMANY,97445,99055,1610,118413,120639,2226,151885,153589,1704,212380,215360,2980,317653,319435,1782,153503,155253,1749,184253,186764,2511,189167,191008,1841,157932,160191,2259,208046,210401,2355,279122,284490,5368,252637,256345,3709,264673,269347,4673,274280,279284,5004,375441,381364,5923,282105,289532,7426,353075,357883,4808,387896,390355,2459,419139,430993,11854,333275,340276,7000,390799,397304,6505,424200,432358,8158
11088,GIBRALTAR,1,6,5,64,64,0,211,78,-133,135,12,-123,95,4,-91,64,4,-60,97,4,-93,265,6,-260,466,30,-436,408,38,-370,462,61,-400,384,2,-381,245,10,-235,75,11,-64,198,13,-185,81,0,-81,77,0,-76,219,0,-219,221,1,-220,44,2,-42,96,1,-95,29,1,-28
11207,GREECE,3949,4025,76,6958,7145,187,9497,9911,414,14410,15729,1319,23669,28329,4660,7722,9483,1761,9508,12357,2848,5991,9006,3015,2846,4528,1682,3536,5241,1705,4736,8844,4109,6179,9432,3253,4774,6620,1846,4914,6133,1219,6569,8642,2073,4617,5498,881,7342,9155,1813,5956,7335,1379,7017,10998,3981,7314,10515,3201,11161,14393,3232,13181,16676,3495
11304,ICELAND,3,3,0,2,2,0,5,5,0,28,28,0,26,26,0,1,1,0,22,22,0,73,73,0,139,139,0,154,154,0,124,124,0,72,72,0,141,141,0,225,225,0,739,739,0,439,457,17,828,832,4,1003,1003,0,997,997,0,635,647,12,628,745,117,567,689,123
11401,IRELAND,20590,18796,-1794,29911,27536,-2375,28177,25724,-2453,41407,38201,-3206,36759,34125,-2633,14296,12921,-1375,69452,15757,-53695,92459,14999,-77460,86316,18704,-67612,123144,25887,-97257,209089,30562,-178527,311228,31160,-280068,391445,33726,-357719,353766,29373,-324393,385428,41321,-344108,386356,31959,-354396,522587,40402,-482185,563275,52149,-511126,729179,61152,-668027,598194,52548,-545647,735332,57895,-677437,837500,41117,-796383
11509,ITALY,38874,39293,419,57385,57956,571,63775,65204,1429,92401,95359,2958,96466,101125,4659,46785,48661,1876,59102,62842,3741,50941,56224,5284,39900,43288,3389,53643,57056,3412,74472,81550,7078,63482,72079,8596,71830,82281,10451,64162,79891,15729,95567,120908,25341,75601,94839,19238,97456,122430,24975,94989,128398,33409,105559,148050,42491,78360,113977,35617,99471,141364,41893,113526,149581,36055
11606,LIECHTENSTEIN,19,19,0,35,21,-14,64,31,-33,240,96,-144,253,186,-67,183,183,0,206,2,-204,299,299,0,103,103,0,70,70,0,92,92,0,78,78,0,57,57,0,59,59,0,57,57,0,58,2,-57,58,0,-58,62,4,-58,47,1,-46,31,0,-30,35,0,-35,7,0,-7
11703,LUXEMBOURG,4083,1235,-2848,5669,2468,-3201,7995,3341,-4654,11603,2392,-9211,30332,5323,-25009,10367,1566,-8801,23858,3953,-19905,25797,3853,-21944,19007,3794,-15213,20538,6139,-14399,31046,9333,-21713,24546,3342,-21204,17428,2583,-14845,24976,2489,-22487,33384,3306,-30078,39401,9033,-30369,41351,3111,-38240,66392,3847,-62545,68175,8759,-59416,46687,5458,-41229,56153,4971,-51183,80662,5718,-74943
11819,MALTA,0,0,0,0,0,0,0,0,0,82,0,-82,50,0,-50,13,1,-13,13,0,-13,1,1,0,39,4,-35,60,0,-60,157,2,-156,402,21,-381,800,41,-759,523,4,-519,632,23,-609,701,19,-681,371,5,-366,921,12,-909,927,24,-903,718,7,-712,631,1,-630,109,1,-108
12009,MONACO,3,3,0,8,8,0,9,9,0,10,10,0,16,16,0,13,13,0,12,12,0,27,27,0,9,9,0,5,5,0,12,12,0,10,10,0,11,11,0,9,9,0,19,93,74,14,12,-1,30,12,-18,10,42,32,7,5,-1,8,44,36,9,68,59,4,3,-1
12106,NETHERLANDS,113611,109538,-4073,134844,128332,-6512,129196,117613,-11583,157133,137449,-19684,146914,128276,-18638,71929,63226,-8703,102615,90858,-11757,112942,89003,-23939,110666,84954,-25712,137187,102315,-34872,216292,136066,-80226,218092,144536,-73556,243634,149242,-94393,254160,165589,-88571,338653,223258,-115394,263809,174654,-89154,366244,252127,-114117,419162,313023,-106139,551807,368013,-183794,402690,260716,-141974,491194,315620,-175575,466849,293678,-173171
12203,NORWAY,11966,12180,214,18144,19105,961,21956,24434,2478,32039,36502,4463,45191,52594,7403,13134,16335,3201,22501,27429,4928,22861,33419,10557,21058,31086,10027,24275,35510,11234,28515,42919,14404,24840,31208,6368,22076,25605,3528,26662,29990,3328,35213,37868,2655,32100,34844,2744,35121,38921,3800,36558,39829,3271,44379,52672,8293,48969,60261,11292,36966,51573,14608,28787,36679,7892
12319,PORTUGAL,3925,4433,508,5496,5496,0,5317,5317,0,5978,5978,0,6104,6104,0,3375,3375,0,5236,5198,-38,5357,5357,0,3565,3565,0,4524,4656,133,7419,8046,627,6424,6426,2,7476,7476,0,7518,7518,0,8934,8934,0,6223,6227,3,8906,8909,3,9048,9072,24,8770,10186,1417,9629,10744,1115,10287,11408,1121,9049,9636,587
12408,SAN MARINO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12505,SPAIN,43702,43700,-2,62788,62746,-42,63229,63199,-30,84758,84732,-26,104915,104861,-54,61761,61751,-10,86044,85936,-108,64215,64202,-13,52119,52192,73,61327,61258,-69,89717,89686,-31,90315,91280,965,88748,89831,1082,90093,90002,-91,122744,123977,1233,103296,103131,-164,109956,109490,-466,109725,88600,-21124,114961,116115,1153,97197,97935,738,117362,122022,4659,125125,129295,4170
12602,SWEDEN,27283,27501,218,38114,38536,422,40090,40919,829,58630,60459,1829,56516,61099,4583,29990,31564,1574,43391,46166,2775,62558,66554,3995,52365,56080,3714,64978,67313,2335,86560,88988,2428,84250,88766,4516,85658,90576,4918,84206,86112,1906,104936,108113,3177,88386,101861,13475,108120,125102,16982,151656,181744,30088,203151,229563,26412,126155,140830,14675,150234,168019,17785,130696,177737,47041
12688,SWITZERLAND,117499,115515,-1984,138115,138139,24,191652,191272,-380,262470,264656,2186,280303,282074,1771,213211,194128,-19082,297281,234308,-62973,317918,244700,-73217,276159,218109,-58050,321521,260918,-60603,427317,338710,-88606,407223,354340,-52884,404639,352440,-52199,404632,324826,-79806,476103,386214,-89889,425914,346924,-78989,549751,450620,-99130,587227,493836,-93391,694893,567182,-127710,545774,430718,-115056,603900,459135,-144766,553866,423119,-130747
12807,TURKEY,3766,3770,4,5528,5547,19,11072,11092,20,11143,11168,25,19654,19661,8,9881,9891,9,21226,21226,0,30322,30392,70,17004,17065,61,30421,30425,3,21510,21513,3,26809,26809,0,16868,16869,1,15314,15314,0,22046,22049,3,12612,12614,2,13854,13854,0,11295,11295,0,7723,7723,0,12038,12105,68,12757,12824,68,12843,12909,66
13005,UNITED KINGDOM,412718,408568,-4150,447669,445459,-2210,527951,531978,4027,657230,664921,7691,683316,696741,13425,352765,364815,12050,526907,545332,18425,586109,605033,18924,585114,606537,21423,683506,695797,12291,897620,888329,-9291,840202,847512,7311,823015,814784,-8231,799580,791964,-7616,1019448,1004821,-14628,857266,833161,-24105,937464,897370,-40094,814368,810728,-3640,967924,939905,-28019,854579,849750,-4829,926129,968339,42210,1048208,1065599,17392
13006,GUERNSEY,4185,538,-3647,4993,670,-4323,5400,735,-4665,8886,775,-8111,9525,1203,-8323,3778,395,-3383,5627,173,-5454,5621,135,-5486,5437,192,-5244,7461,1740,-5721,10304,3616,-6688,10843,3254,-7589,8105,1535,-6570,7728,897,-6831,14077,3993,-10085,11330,2981,-8349,10019,1362,-8658,9281,1743,-7538,9291,855,-8436,9616,834,-8782,15656,1293,-14363,11438,1363,-10076
13007,JERSEY,789,631,-158,279,234,-45,592,370,-222,2463,685,-1778,4391,1654,-2737,9571,1880,-7691,17663,200,-17463,19110,773,-18336,25829,610,-25218,31521,1495,-30026,56607,1929,-54679,72001,3460,-68541,71410,2307,-69103,75200,562,-74638,94271,3070,-91201,72286,3420,-68865,83956,4097,-79859,106718,5915,-100803,122903,1019,-121884,100281,2953,-97328,106877,2488,-104389,84160,2906,-81254
13008,ISLE OF MAN,0,0,0,0,0,0,35,35,0,541,242,-299,1139,554,-586,275,71,-204,1058,109,-949,1691,200,-1491,1465,262,-1203,1446,192,-1254,2142,222,-1920,1859,98,-1761,2464,285,-2179,3140,418,-2722,4764,868,-3896,2112,112,-2001,3459,329,-3130,5044,74,-4970,7167,74,-7093,5439,53,-5386,4420,53,-4368,4121,48,-4073
13102,HOLY SEE (VATICAN CITY),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13218,SERBIA,0,0,0,0,0,0,7,7,0,105,105,0,201,201,0,2,2,0,6,6,0,12,12,0,28,28,0,16,16,0,11,11,0,13,13,0,5,5,0,7,7,0,11,11,0,11,11,0,16,16,0,14,14,0,1,1,0,1,1,0,0,0,0,0,0,0
13471,KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13625,MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14109,BOSNIA AND HERZEGOVINA,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14214,CROATIA,270,270,0,234,234,0,189,189,0,66,66,0,152,152,0,46,46,0,61,61,0,83,83,0,70,70,0,78,78,0,97,97,0,125,125,0,92,92,0,101,101,0,97,88,-9,71,64,-6,59,53,-7,30,28,-3,21,21,0,18,18,0,10,10,0,16,16,0
14338,SLOVENIA,13,13,0,1,1,0,48,48,0,116,116,0,317,317,0,133,133,0,182,182,0,191,191,0,169,169,0,161,161,0,234,234,0,217,217,0,185,185,0,135,135,0,139,139,0,281,281,0,320,320,0,284,284,0,363,363,0,271,271,0,364,364,0,507,507,0
14419,MACEDONIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15105,ALBANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15202,BULGARIA,5,5,0,6,6,0,78,78,0,90,90,0,381,395,15,155,155,0,103,103,0,120,120,0,80,80,0,42,42,0,16,16,0,13,13,0,9,9,0,7,7,0,34,34,0,12,12,0,12,12,0,10,10,0,40,40,0,27,27,0,28,28,0,30,30,0
15288,CZECH REPUBLIC,1248,1425,177,1842,3095,1253,1705,4183,2478,3043,4593,1550,5121,7839,2718,3648,4214,566,4530,4996,466,4553,4839,286,3721,3859,138,3506,3838,332,2564,3170,606,2247,2896,649,1715,2522,807,1962,2075,113,2558,2786,229,2176,2340,164,2100,2323,223,1612,1620,8,2024,2030,6,1310,1312,2,1507,1507,0,1424,1424,0
15318,SLOVAKIA,14,14,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15407,ESTONIA,138,138,0,303,303,0,58,58,0,57,57,0,127,127,0,52,52,0,54,54,0,72,72,0,68,68,0,100,100,0,102,102,0,71,71,0,83,83,0,79,79,0,108,108,0,88,88,0,70,70,0,46,46,0,123,123,0,32,32,0,27,27,0,9,9,0
15504,HUNGARY,2410,2410,0,4502,4502,0,4880,4880,0,7617,7617,0,7307,7307,0,2698,2698,0,4429,4429,0,3444,3444,0,2148,2148,0,2554,2554,0,2749,2749,0,2086,2086,0,2948,3266,318,3908,4476,568,5630,7341,1711,4961,6090,1128,6124,7805,1681,5267,7717,2450,5880,9364,3484,3421,4697,1276,4953,6514,1561,5697,6755,1058
15601,LATVIA,0,0,0,4,4,0,10,10,0,13,13,0,18,18,0,3,3,0,10,10,0,13,13,0,6,6,0,6,6,0,23,23,0,6,6,0,5,5,0,2,2,0,2,2,0,2,2,0,3,3,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
15709,LITHUANIA,3,3,0,3,3,0,20,20,0,9,9,0,29,29,0,12,12,0,21,21,0,18,18,0,11,11,0,11,11,0,17,17,0,18,18,0,17,17,0,19,19,0,25,25,0,19,19,0,19,19,0,21,21,0,37,37,0,24,24,0,23,23,0,18,18,0
15768,POLAND,1595,1595,0,3067,3065,-2,4560,4557,-3,7381,7394,13,9060,9128,69,4346,4336,-10,5215,5297,82,8262,8388,126,6402,6621,219,9952,10214,263,10531,10658,126,9813,9813,0,7835,8030,195,8782,8782,0,13276,13276,0,10555,10738,184,9134,9545,412,8680,11389,2709,10607,11882,1275,8342,9369,1027,12584,13852,1268,11607,13094,1487
15806,ROMANIA,23,23,0,119,119,0,205,205,0,329,329,0,551,551,0,143,143,0,172,172,0,188,188,0,708,708,0,927,927,0,928,928,0,1292,1292,0,705,705,0,687,687,0,683,699,16,599,630,31,732,769,37,522,550,28,625,661,36,553,578,25,724,749,25,680,711,31
16101,RUSSIA,12736,12738,2,10321,10325,4,17964,17962,-2,39334,39325,-9,73096,73424,327,19470,19480,10,44387,44501,113,54178,56622,2445,41425,45156,3730,52894,57993,5099,55438,66025,10586,29585,34269,4683,30456,34376,3920,49764,54406,4642,54624,61288,6664,45151,47362,2211,64846,66328,1483,55896,57790,1893,67623,86368,18745,25193,29788,4595,27421,30763,3342,11547,15209,3662
16209,BELARUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,-372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16306,MOLDOVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16403,UKRAINE,17,17,0,13,13,0,38,38,0,209,209,0,633,633,0,100,100,0,109,109,0,149,149,0,48,48,0,19,19,0,19,19,0,37,190,153,4,38,34,2,136,133,3,247,245,4,209,205,3,213,211,2,193,191,2,209,207,1,212,210,4,202,198,4,232,228
16519,ARMENIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16527,AZERBAIJAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16535,GEORGIA,0,0,0,0,0,0,0,0,0,27,27,0,148,148,0,21,21,0,30,30,0,81,81,0,45,45,0,0,4,3,0,292,292,87,368,281,44,274,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,0,0,0,0,0
16543,KAZAKHSTAN,0,0,0,0,0,0,6,6,0,953,953,0,812,875,63,232,269,37,1008,1008,0,696,696,0,384,384,0,606,606,0,579,579,0,529,529,0,227,227,0,169,169,0,280,280,0,202,202,0,337,337,0,1023,1023,0,2247,2335,88,1425,1567,142,2188,2251,63,2829,2875,46
16551,KYRGYZSTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16578,TAJIKISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16616,TURKMENISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16705,UZBEKISTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29998,CANADA,138282,135951,-2331,176212,172971,-3241,240050,233265,-6785,290169,282842,-7327,343634,333743,-9891,163449,158726,-4723,273656,267027,-6629,385656,378409,-7247,341480,333903,-7577,370601,363745,-6856,387000,376146,-10854,398241,391885,-6356,310285,305394,-4890,397664,383347,-14318,492668,475870,-16798,443497,431592,-11905,562623,544843,-17780,650953,631493,-19460,832534,798048,-34486,677979,643920,-34058,780023,743713,-36310,851527,816452,-35074
30104,ARGENTINA,793,836,43,1130,1126,-4,1024,985,-39,1737,1669,-68,1890,1890,0,690,687,-3,1118,1111,-7,2397,2396,-2,2727,2845,118,1510,1630,120,2698,2857,159,3399,3765,366,2595,2787,192,3241,3760,519,9229,10566,1337,4190,6841,2651,2972,6595,3623,1741,8496,6755,2273,2677,404,1924,2955,1031,2802,4329,1527,7718,10763,3045
30155,BARBADOS,2,2,0,10,10,0,0,0,0,25,25,0,56,56,0,39,39,0,61,61,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30201,BOLIVIA,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,17,17,0,17,17,0,17,17,0,17,17,0,17,17,0,0,0,0,0,0,0,0,0,0
30228,ANGUILLA,0,0,0,0,0,0,0,0,0,1,1,0,12,12,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,661,661,0,0,0,0,0,0,0,1,1,0,2,2,0,2,2,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
30309,BRAZIL,18131,18069,-62,27523,27529,6,48477,48474,-3,68989,68978,-11,110704,111721,1017,40635,40907,272,106448,106974,526,120098,120857,759,111628,112429,801,102972,103899,926,97550,98175,624,88015,88276,261,54191,54122,-69,80798,81220,422,119149,119189,40,98988,102770,3782,112182,124302,12120,103347,126779,23432,90943,104409,13466,103251,116358,13107,108332,138744,30412,73265,104531,31266
30406,CHILE,2052,2055,3,2518,2559,41,3481,3514,33,4357,4370,13,4342,4397,54,3970,3999,29,8228,8345,117,12376,12463,88,10500,10500,0,13342,13345,3,11893,11903,10,11118,11300,182,8671,8671,0,10721,10875,154,15680,16051,371,12249,12790,541,9770,10548,778,8795,9207,411,7108,7108,0,11075,11075,0,13384,13378,-6,12011,12011,0
30503,COLOMBIA,133,133,0,262,262,0,745,745,0,714,714,0,351,351,0,318,318,0,1635,1635,0,3444,3436,-8,4209,4191,-18,6616,6779,163,4776,5062,286,3797,4050,253,4268,4362,93,5045,5144,100,6838,6846,7,3342,3406,63,3113,3186,73,2220,2227,7,1633,3171,1538,1620,3357,1736,1315,3728,2414,1000,4819,3819
30589,COSTA RICA,0,0,0,1,1,0,20,20,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,3,3,0,4,4,0,18,18,0,26,26,0,12,12,0,7,7,0,11,11,0,8,8,0,7,7,0,2,2,0,0,0,0,0,0,0,11,11,0,2,2,0
